Date,Close,Revenue,GDP
2019/9/18,138.520004,33.7,21548.73101
2019/9/19,141.070007,33.7,21548.73101
2019/9/20,139.440002,33.7,21548.73101
2019/9/23,139.139999,33.7,21548.73101
2019/9/24,137.380005,33.7,21548.73101
2019/9/25,139.360001,33.7,21548.73101
2019/9/26,139.539993,33.7,21548.73101
2019/9/27,137.729996,33.7,21548.73101
2019/9/30,139.029999,33.7,21548.73101
2019/10/1,137.070007,33.1,21634.55712
2019/10/2,134.649994,33.1,21634.55712
2019/10/3,136.279999,33.1,21634.55712
2019/10/4,138.119995,33.1,21634.55712
2019/10/7,137.119995,33.1,21634.55712
2019/10/8,135.669998,33.1,21634.55712
2019/10/9,138.240005,33.1,21634.55712
2019/10/10,139.100006,33.1,21634.55712
2019/10/11,139.679993,33.1,21634.55712
2019/10/14,139.550003,33.1,21634.55712
2019/10/15,141.570007,33.1,21634.55712
2019/10/16,140.410004,33.1,21634.55712
2019/10/17,139.690002,33.1,21634.55712
2019/10/18,137.410004,33.1,21634.55712
2019/10/21,138.429993,33.1,21634.55712
2019/10/22,136.369995,33.1,21634.55712
2019/10/23,137.240005,33.1,21634.55712
2019/10/24,139.940002,33.1,21634.55712
2019/10/25,140.729996,33.1,21634.55712
2019/10/28,144.190002,33.1,21634.55712
2019/10/29,142.830002,33.1,21634.55712
2019/10/30,144.610001,33.1,21634.55712
2019/10/31,143.369995,33.1,21634.55712
2019/11/1,143.720001,33.1,21706.8776
2019/11/4,144.550003,33.1,21706.8776
2019/11/5,144.460007,33.1,21706.8776
2019/11/6,144.059998,33.1,21706.8776
2019/11/7,144.259995,33.1,21706.8776
2019/11/8,145.960007,33.1,21706.8776
2019/11/11,146.110001,33.1,21706.8776
2019/11/12,147.070007,33.1,21706.8776
2019/11/13,147.309998,33.1,21706.8776
2019/11/14,148.059998,33.1,21706.8776
2019/11/15,149.970001,33.1,21706.8776
2019/11/18,150.339996,33.1,21706.8776
2019/11/19,150.389999,33.1,21706.8776
2019/11/20,149.619995,33.1,21706.8776
2019/11/21,149.479996,33.1,21706.8776
2019/11/22,149.589996,33.1,21706.8776
2019/11/25,151.229996,33.1,21706.8776
2019/11/26,152.029999,33.1,21706.8776
2019/11/27,152.320007,33.1,21706.8776
2019/11/29,151.380005,33.1,21706.8776
2019/12/2,149.550003,33.1,21741.93929
2019/12/3,149.309998,33.1,21741.93929
2019/12/4,149.850006,33.1,21741.93929
2019/12/5,149.929993,33.1,21741.93929
2019/12/6,151.75,33.1,21741.93929
2019/12/9,151.360001,33.1,21741.93929
2019/12/10,151.130005,33.1,21741.93929
2019/12/11,151.699997,33.1,21741.93929
2019/12/12,153.240005,33.1,21741.93929
2019/12/13,154.529999,33.1,21741.93929
2019/12/16,155.529999,33.1,21741.93929
2019/12/17,154.690002,33.1,21741.93929
2019/12/18,154.369995,33.1,21741.93929
2019/12/19,155.710007,33.1,21741.93929
2019/12/20,157.410004,33.1,21741.93929
2019/12/23,157.410004,33.1,21741.93929
2019/12/24,157.380005,33.1,21741.93929
2019/12/26,158.669998,33.1,21741.93929
2019/12/27,158.960007,33.1,21741.93929
2019/12/30,157.589996,33.1,21741.93929
2019/12/31,157.699997,33.1,21741.93929
2020/1/2,160.619995,36.9,21784.26677
2020/1/3,158.619995,36.9,21784.26677
2020/1/6,159.029999,36.9,21784.26677
2020/1/7,157.580002,36.9,21784.26677
2020/1/8,160.089996,36.9,21784.26677
2020/1/9,162.089996,36.9,21784.26677
2020/1/10,161.339996,36.9,21784.26677
2020/1/13,163.279999,36.9,21784.26677
2020/1/14,162.130005,36.9,21784.26677
2020/1/15,163.179993,36.9,21784.26677
